term,coef (log10),SE (classical),SE (HC3),multiplier on revenue,mult. CI low,mult. CI high,p (HC3)
"Intercept (Indie, paid, median price/score/playtime)",5.157510059948507,0.018577892285777362,0.01859968084321103,143717.63435619182,132146.40578615505,156302.08254293693,0.0
AA (vs Indie),0.4463647252093385,0.05898744896014175,0.07364800814594524,2.7948900348401367,2.0045517921222604,3.8968363589042507,1.3545900425123615e-09
AAA (vs Indie),0.5788888920769814,0.09283018869229467,0.12006461077754352,3.7921795516721137,2.2058022690584527,6.519453694395956,1.424983636953095e-06
free-to-play,0.04704035201319051,0.07945498443310817,0.10025720345342254,1.1143980719016755,0.7088263342612342,1.7520272634234302,0.6389290226680908
"price (x10, paid games)",0.6054560690973947,0.07097540129887117,0.07482354209575257,4.031401648820409,2.8761042337652145,5.650768516423186,5.879628257180786e-16
review score (+10 pts),0.039555183827200385,0.012462006454453904,0.012301710596579517,1.0953557284016835,1.0362016371335552,1.1578867748765589,0.0013025314761577938
playtime (x10),0.5329056165883305,0.04386631012439171,0.046833189677381024,3.411187696436974,2.761304187715767,4.214023776188454,5.332692367956871e-30
