column,mean,ci_lower,ci_upper,bootstrap_lower,bootstrap_upper,ci_width,bootstrap_width
copiesSold,141482.57,84158.22699428654,198806.9130057135,91912.38343333334,205218.23848333335,114648.68601142695,113305.85505000001
price,17.519513333333332,16.879518243753054,18.15950842291361,16.88191766666667,18.172709833333336,1.2799901791605564,1.290792166666666
revenue,2632381.9826861774,1225015.5370125377,4039748.428359817,1460034.7654002963,4221851.673678219,2814732.891347279,2761816.9082779232
avgPlaytime,12.56270363676686,11.472539321628803,13.652867951904918,11.50836712728618,13.690722473279259,2.180328630276115,2.182355345993079
reviewScore,76.20133333333334,74.9706225531348,77.43204411353187,74.97395,77.42066666666666,2.4614215603970706,2.44671666666666
revenue_per_copy,14.36695073025578,13.777316371186531,14.95658508932503,13.801834267654275,14.971347504287067,1.1792687181384984,1.1695132366327918
