publisherClass,n_games,total_revenue,median_revenue,q1,q3,% of games,% of revenue,gini
Indie,1302,877077524.809294,90773.0,42198.25,311016.0,86.8,22.21251906899146,0.8263971096052398
AA,146,1484897797.2199724,672187.0,147406.75,2237521.5,9.733333333333333,37.605935283113915,0.8942757994115107
AAA,52,1586597652.0,928862.0,266013.25,3253030.5,3.466666666666667,40.18154564789462,0.9275648387693636
