term,OLS on log revenue (ln units),"Gamma GLM, log link (ln units)",OLS multiplier,GLM multiplier,GLM p (HC3)
AA (vs Indie),1.0277927623054064,1.618339758189955,2.7948900348401367,5.0447079250742215,2.421487601903212e-07
AAA (vs Indie),1.3329409333962963,2.5764025319387645,3.7921795516721137,13.149747171522664,2.2738739347940474e-05
free-to-play,0.10831441331476493,0.33235138067061193,1.1143980719016755,1.3942426723753731,0.2942449921997904
"price (x10, paid games)",1.3941141191664341,0.8604887375289558,4.031401648820409,2.3643159413071957,0.06284105429190943
review score (+10 pts),0.09107917663115078,0.21540946888835932,1.0953557284016835,1.2403696857935,1.3176754721238625e-07
playtime (x10),1.2270605287290903,2.111244365864222,3.411187696436974,8.258511503150553,1.4941598147319984e-25
