Column,Mean,Median,Mode,Std,Variance,Skewness,Kurtosis,Range,IQR,Q1,Q3,CV,Missing %
avgPlaytime,12.56270363676686,6.762775519137282,0.0,21.54217256267663,464.06519872013786,7.1701661511773995,71.78987287789779,296.3328524525871,9.539625814746097,3.564847598738807,13.104473413484904,1.714772009715317,0.0
copiesSold,141482.57,11928.5,3127.0,1132756.6605542018,1283137652029.9072,18.61947759899234,421.4158210902407,30738555.0,32951.0,4918.75,37869.75,8.006333646287326,0.0
price,17.519513333333332,14.99,19.99,12.646611586491048,159.93678461956964,1.5766669923067504,3.8709836371886923,99.99,9.999999999999998,9.99,19.99,0.7218586125009018,0.0
revenue,2632381.9826861774,109053.0,21939.0,27810239.622256387,773409427847319.1,22.92007577797533,609.8179257998908,837772682.0,409652.5,45504.25,455156.75,10.564667212118591,0.0
revenue_per_copy,14.36695073025578,12.152838414889683,0.0101797162756421,11.651459266802762,135.75650304596394,5.047428934562849,67.00638588014735,219.14215574019997,9.969610417119195,7.286108224791807,17.255718641911002,0.810990410252164,0.0
reviewScore,76.20133333333334,83.0,0.0,24.319438486138527,591.4350882810758,-2.0506806253941456,3.7840489285972905,100.0,20.0,72.0,92.0,0.3191471516614564,0.0
