,avgPlaytime,copiesSold,price,revenue,revenue_per_copy,reviewScore
avgPlaytime,1.0,0.329658179549659,0.273380218729218,0.4381002332128154,0.33469937008860895,-0.007493555697696
copiesSold,0.329658179549659,1.0,-0.07685449992821565,0.8687990888628448,-0.058023400605134924,-0.010923575441991202
price,0.273380218729218,-0.07685449992821565,1.0,0.3117624673762606,0.9024813420922538,-0.009083271589831477
revenue,0.4381002332128154,0.8687990888628448,0.3117624673762606,1.0,0.37345578297623006,-0.027993283141866165
revenue_per_copy,0.33469937008860895,-0.058023400605134924,0.9024813420922538,0.37345578297623006,1.0,-0.04044090575983185
reviewScore,-0.007493555697696,-0.010923575441991202,-0.009083271589831477,-0.027993283141866165,-0.04044090575983185,1.0
