variable,n,median,IQR,MAD,P05,P95,10% trimmed mean,mean,geo. mean,mean / median
revenue,1500.0,109053.0,409652.5,118991.43015393185,23869.05,4556664.599999996,278818.0716894589,2632381.9826861774,171715.10178149768,24.138556322945515
copiesSold,1500.0,11928.5,32951.0,13241.861714582783,1864.45,306205.89999999973,22624.236666666668,141482.57,15434.953356992852,11.860885274762126
price (paid),1415.0,14.99,14.999999999999998,7.41301109252801,4.99,39.99,16.771147396293028,18.5719222614841,15.246728946411055,1.2389541201790595
avgPlaytime,1499.0,6.763298604016614,9.536222740654441,5.915828510986887,1.4646717827521099,39.907584140913166,8.558342816341609,12.571084359673309,7.097929526524484,1.8587208839496667
reviewScore (scored),1401.0,85.0,17.0,11.860817748044816,53.0,98.0,83.4299732381802,81.58600999286224,80.05791547747147,0.9598354116807323
