outcome,n,H,df,p_raw,epsilon2,median_Indie,median_AA,median_AAA,p_holm,reject_holm_.05
revenue,1500,129.00227194006462,2,9.71656078148761e-29,0.08605888721818854,90773.0,672187.0,928862.0,3.886624312595044e-28,True
copiesSold,1500,71.75345616849899,2,2.6238255952687724e-16,0.047867549145096056,10213.5,30682.0,43160.5,7.871476785806318e-16,True
price,1500,141.1602702427177,2,2.2255470742355687e-31,0.09416962657953148,14.99,29.99,29.99,1.1127735371177843e-30,True
avgPlaytime,1500,57.938564071449946,2,2.6230143539159717e-13,0.03865147703232151,6.33104159475616,11.203419228257287,11.935773667272802,5.246028707831943e-13,True
reviewScore,1401,3.148800079904265,2,0.20713178620621744,0.002249142914217332,85.0,84.0,84.0,0.20713178620621744,False
