,avgPlaytime,copiesSold,price,revenue,revenue_per_copy,reviewScore
avgPlaytime,1.0,0.09906471347350047,0.029052748332542136,0.08242598141899277,0.1906320280968277,-0.03197972927261394
copiesSold,0.09906471347350047,1.0,0.056224034545446014,0.6277004608991783,0.04546876445141945,0.008584097752535672
price,0.029052748332542136,0.056224034545446014,1.0,0.16252112944636915,0.7527083527807206,-0.035025414205574035
revenue,0.08242598141899277,0.6277004608991783,0.16252112944636915,1.0,0.1565363176430978,0.007382641987462298
revenue_per_copy,0.1906320280968277,0.04546876445141945,0.7527083527807206,0.1565363176430978,1.0,-0.07898329906317184
reviewScore,-0.03197972927261394,0.008584097752535672,-0.035025414205574035,0.007382641987462298,-0.07898329906317184,1.0
