name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,revenue_per_copy
Gourdlets,2024-08-15,29540,4.99,109304.0,4.510849803181503,95,Indie,"Future Friends Games,AuntyGames",AuntyGames,2013730,3.700203114421124
Unreal Lust Theory,2024-03-29,22266,7.99,108802.0,1.6062343921411546,74,Indie,Inceton games,Inceton games,2573100,4.8864636665768435
Escape from the Room of the Serving Doll,2024-06-18,18575,6.99,108603.0,1.2631172015065026,87,Indie,Playmeow,桃山プロダクション,2442390,5.846729475100942
NTR'd By Clumsiness,2024-05-15,20401,6.99,108551.0,2.2641617236393574,80,Indie,Hangover Cat Purrroduction,Hangover Cat Purrroduction,2277300,5.320866624185089
Rogue Voltage,2024-05-10,8150,15.99,108249.0,8.035693626041311,93,Indie,"Horizont Computergrafik,IndieArk",Horizont Computergrafik,1494560,13.282085889570553
The Braves,2024-05-03,35671,0.0,107932.0,37.56037743623871,65,Indie,101XP,101XP GAME STUDIOS,2479830,3.0257632250287347
The Political Machine 2024,2024-05-02,5997,19.99,107442.0,9.375262746564824,71,Indie,Stardock Entertainment,Stardock Entertainment,2512090,17.915957978989496
Lootun,2024-05-14,23003,5.49,107153.0,64.13552450605829,94,Indie,ArrowSoftGames,ArrowSoftGames,1960270,4.658218493240012
Stellar Initiative,2024-05-27,12661,9.99,106342.0,7.096431675244657,72,Indie,Five Head Games,Five Head Games,2529080,8.399178579891004
Baladins,2024-05-15,5066,24.99,106200.0,3.3563584876458874,84,Indie,Armor Games Studios,Seed by Seed,1866320,20.963284642716147
Of Life and Land,2024-04-02,5200,24.99,106071.0,8.470716159988035,93,Indie,"Kerzoven,Metaroot",Kerzoven,1733110,20.39826923076923
Aero GPX,2024-08-06,6739,19.99,105983.0,4.249184101788392,99,Indie,Aaron McDevitt,Aaron McDevitt,2160360,15.726814067369046
Trinity Survivors,2024-05-02,13772,9.99,105834.0,6.141025061148281,78,Indie,"Flyway Games, Inc.","Flyway Games, Inc.",2686580,7.684722625617194
Old School Rally,2024-07-18,12741,9.99,105556.0,3.3328854130189614,93,Indie,Astrolabe Games,Frozen Lake Games,2824660,8.284750019621693
Factory Outlet Simulator,2024-07-15,12466,10.99,105087.0,12.264593888983066,87,Indie,PISHO,PISHO,2981590,8.42988929889299
Sandwalkers,2024-06-19,6527,19.99,104827.0,8.163045434052988,75,Indie,"Goblinz Publishing,H2 Interactive Co., Ltd.",Goblinz Studio,1639080,16.06051784893519
Craftomation 101: Programming & Craft,2024-02-19,13458,9.99,104104.0,12.247192066961416,88,Indie,Luden.io,Luden.io,1724140,7.735473324416704
Deadrock Redemption,2024-04-04,8414,14.99,103914.0,1.9315781914925247,67,Indie,Entropy Digital Entertainment,Entropy Digital Entertainment,2753270,12.350130734490136
Dungeon Travelers: To Heart 2 in Another World,2024-02-14,7032,19.99,103875.0,26.40898855646969,89,Indie,"DMM GAMES,Shiravune",AQUAPLUS,1901620,14.771757679180887
Dustland Delivery,2024-07-11,16038,7.99,103498.0,16.13021138305583,93,Indie,Farlight Games,Neutron Star Studio,2943280,6.453298416261379
Saki and the Crucible of Debauchery,2024-07-25,13943,8.99,103268.0,2.3790812982022453,96,Indie,"Mango Party,Mango Party News",ofuroworks,2652500,7.406440507781682
The Tribe Must Survive,2024-05-23,6191,24.99,103232.0,9.08482471233303,72,Indie,Starbreeze Entertainment,Walking Tree Games GmbH,1729940,16.674527539977387
PMC Promiscuity,2024-05-18,6029,19.99,103206.0,4.655877506903089,91,Indie,Overseer Division,"Shuuko,Amber Fiend",2738670,17.11826173494775
Mashiroiro Symphony HD -Love is Pure White-,2024-05-01,4565,39.99,103113.0,16.50014475843828,85,Indie,Shiravune,Palette,2737970,22.58773274917853
Princess Maker 2 Regeneration,2024-07-10,3127,39.99,103057.0,5.284493425227376,62,Indie,Bliss Brain,"Bliss Brain,Monkey Craft",2311530,32.957147425647584
